page,slug,Image,Advice Text,Life_Area,Action_Type,Difficulty,Topic_Theme,Smart_Category
44,120-stock-market,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/120-stock-market.png,Subtract your age from 120. That percentage of your portfolio can be in the stock market.,Money & Finance,Mindset Shift,Medium,Learning & Skills,Money & Finance
2,401k-match,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/401k-match.png,Always take the employer's 401k match. It's an immediate 100% return on investment.,Money & Finance,Maintain/Remember,Easy,Mindset & Emotions,Money & Finance
256,add-googly-eyes,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/add-googly-eyes.png,Adding googly eyes to objects is a funny and harmless prank.,Personal Development,Mindset Shift,Medium,Learning & Skills,General Wisdom
199,advice-opinion,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/advice-opinion.png,"If you wouldn't take advice from them, don't worry about their opinion.",Personal Development,Conditional Wisdom,Medium,Learning & Skills,General Wisdom
229,allow-continue,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/allow-continue.png,What you allow is what will continue.,Personal Development,Mindset Shift,Easy,Learning & Skills,General Wisdom
87,alone-bar,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/alone-bar.png,Learn to confidently sit alone at a bar–it's a skill that will serve you.,Learning & Growth,Learn/Develop,Requires Effort,Learning & Skills,Learning & Growth
128,always-apologizing,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/always-apologizing.png,"If you're the one always apologizing, you may not the problem.",Personal Development,Avoid/Stop,Easy,"Theme: know, need",Things to Avoid
54,angry-email,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/angry-email.png,Never send an angry email on the same day you wrote it.,Personal Development,Avoid/Stop,Medium,Mindset & Emotions,Things to Avoid
167,apron-cape,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/apron-cape.png,An apron is simply a cape worn backwards.,Personal Development,Mindset Shift,Easy,Learning & Skills,General Wisdom
149,ask-asleep,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/ask-asleep.png,Never wake someone up to ask if they're asleep.,Personal Development,Avoid/Stop,Easy,Mindset & Emotions,Things to Avoid
